제한속도,구,동
30,은평구,신사동
30,은평구,녹번동
30,은평구,구산동
30,은평구,구산동
30,은평구,역촌동
30,은평구,응암동
30,은평구,불광동
30,은평구,대조동
30,은평구,대조동
30,은평구,응암동
30,은평구,녹번동
30,은평구,불광동
30,은평구,불광동
30,은평구,갈현동
30,은평구,갈현동
30,은평구,응암동
30,은평구,불광동
30,은평구,구산동
40,은평구,역촌동
30,은평구,갈현동
60,은평구,구산동
60,은평구,응암동
30,은평구,진관동
60,은평구,대조동
60,은평구,진관동
60,은평구,불광동
60,은평구,불광동
60,은평구,불광동
60,은평구,녹번동
60,은평구,역촌동
60,은평구,응암동
60,은평구,응암동
30,은평구,응암동
30,은평구,증산동
60,은평구,신사동
60,은평구,역촌동
60,은평구,대조동
60,은평구,대조동
60,은평구,대조동
60,은평구,구산동
60,은평구,응암동
30,은평구,진관동
40,은평구,진관동
30,은평구,신사동
40,은평구,진관동
30,은평구,진관동
60,은평구,응암동
40,은평구,진관동
40,은평구,진관동
30,은평구,진관동
40,은평구,진관동
60,은평구,대조동
60,은평구,대조동
60,은평구,역촌동
60,은평구,대조동
40,은평구,진관동
40,은평구,진관동
40,은평구,진관동
40,은평구,진관동
40,은평구,진관동
0,관악구,봉천동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,개포동
0,강남구,개포동
0,강남구,개포동
0,강남구,개포동
0,강남구,개포동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
40,강동구,고덕동
40,강동구,고덕동
30,동대문구,휘경동
30,중랑구,면목동
50,영등포구,신길동
50,영등포구,여의도동
40,중랑구,면목동
30,중랑구,면목동
40,강서구,방화동
50,강서구,방화동
50,강서구,방화동
50,중랑구,묵동
50,서초구,방배동
50,서초구,방배동
50,서초구,방배동
80,서초구,서초동
80,서초구,서초동
40,서초구,원지동
50,금천구,가산동
30,성동구,금호동4가
50,용산구,이촌동
50,용산구,이촌동
50,영등포구,당산동3가
50,서초구,서초동
50,강남구,수서동
50,서초구,잠원동
50,강동구,성내동
30,강북구,수유동
50,서초구,반포동
50,서초구,내곡동
50,서초구,반포동
50,강남구,논현동
50,강남구,역삼동
50,중랑구,면목동
0,관악구,봉천동
30,종로구,관훈동
30,종로구,청진동
30,종로구,소격동
40,종로구,숭인동
30,종로구,동숭동
30,종로구,동숭동
30,종로구,동숭동
30,종로구,동숭동
30,종로구,공평동
30,종로구,삼청동
50,종로구,동숭동
30,종로구,신문로1가
30,종로구,삼청동
50,종로구,이화동
50,종로구,연건동
50,종로구,혜화동
50,종로구,명륜4가
30,종로구,혜화동
30,종로구,혜화동
30,종로구,동숭동
30,종로구,동숭동
30,종로구,묘동
30,종로구,청진동
40,종로구,창성동
50,종로구,혜화동
30,종로구,혜화동
30,종로구,혜화동
30,종로구,무악동
30,종로구,신문로2가
30,종로구,가회동
30,종로구,가회동
30,종로구,관훈동
30,종로구,인사동
30,종로구,인사동
30,종로구,묘동
30,종로구,묘동
50,종로구,관수동
30,종로구,충신동
30,종로구,효제동
30,종로구,명륜2가
50,종로구,종로3가
50,종로구,종로3가
50,종로구,종로3가
50,종로구,종로5가
50,종로구,종로5가
50,종로구,종로5가
50,종로구,창신동
30,종로구,창신동
30,종로구,창신동
40,종로구,창신동
40,종로구,창신동
30,종로구,숭인동
30,종로구,낙원동
30,종로구,세종로
30,종로구,신문로1가
30,종로구,경운동
30,종로구,경운동
50,종로구,낙원동
30,종로구,낙원동
30,종로구,낙원동
30,종로구,관수동
30,종로구,내자동
50,종로구,필운동
50,종로구,종로6가
30,종로구,사직동
50,종로구,무악동
50,종로구,구기동
50,종로구,신영동
50,종로구,통의동
40,종로구,체부동
40,종로구,통인동
40,종로구,옥인동
40,종로구,청운동
50,종로구,부암동
30,종로구,부암동
20,종로구,평창동
50,종로구,평창동
50,종로구,예지동
30,종로구,가회동
30,종로구,통인동
30,종로구,통의동
30,종로구,궁정동
50,종로구,홍지동
30,종로구,홍지동
30,종로구,신교동
30,종로구,사직동
30,종로구,계동
30,종로구,신영동
20,종로구,신영동
30,종로구,필운동
30,종로구,필운동
30,종로구,명륜1가
20,종로구,창신동
30,종로구,청운동
30,종로구,효제동
30,종로구,명륜1가
30,종로구,구기동
30,종로구,신교동
30,종로구,내자동
50,종로구,부암동
30,종로구,신영동
30,종로구,숭인동
20,종로구,옥인동
30,종로구,창신동
20,종로구,명륜4가
30,종로구,창신동
30,종로구,동숭동
50,종로구,종로6가
30,종로구,창신동
20,종로구,창신동
30,종로구,창신동
30,종로구,창신동
30,종로구,숭인동
20,종로구,동숭동
20,종로구,혜화동
20,종로구,연지동
50,종로구,혜화동
30,종로구,경운동
0,금천구,독산동
0,금천구,가산동
0,금천구,가산동
0,관악구,신림동
0,관악구,봉천동
0,관악구,신림동
0,관악구,신림동
0,관악구,봉천동
0,관악구,봉천동
0,금천구,독산동
40,종로구,평창동
40,종로구,숭인동
50,종로구,청운동
30,종로구,삼청동
30,종로구,부암동
50,종로구,부암동
50,종로구,부암동
30,종로구,봉익동
30,종로구,청운동
30,종로구,청운동
30,종로구,청운동
30,종로구,창신동
20,종로구,행촌동
20,종로구,창신동
30,종로구,숭인동
30,종로구,교남동
30,종로구,익선동
30,종로구,창신동
50,종로구,충신동
50,종로구,명륜2가
50,종로구,신문로1가
30,종로구,내수동
50,종로구,창신동
50,종로구,사직동
0,금천구,독산동
0,금천구,시흥동
0,금천구,독산동
0,금천구,독산동
0,금천구,시흥동
0,금천구,가산동
0,금천구,가산동
0,금천구,독산동
0,금천구,가산동
0,금천구,가산동
0,금천구,가산동
0,금천구,가산동
0,금천구,가산동
0,금천구,시흥동
60,은평구,응암동
30,은평구,구산동
60,은평구,구산동
60,은평구,역촌동
60,은평구,역촌동
60,은평구,역촌동
40,은평구,갈현동
40,은평구,갈현동
40,은평구,갈현동
40,은평구,갈현동
40,은평구,구산동
40,은평구,역촌동
40,은평구,역촌동
60,은평구,갈현동
40,은평구,신사동
60,은평구,응암동
60,은평구,응암동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
60,은평구,갈현동
60,은평구,갈현동
60,은평구,갈현동
30,은평구,증산동
60,은평구,불광동
60,은평구,불광동
60,은평구,갈현동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,대치동
0,강남구,청담동
0,강남구,논현동
0,강남구,삼성동
0,강남구,개포동
0,강남구,수서동
0,강남구,수서동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,자곡동
0,강남구,자곡동
0,강남구,세곡동
0,강남구,도곡동
0,강남구,논현동
0,강남구,논현동
0,강남구,논현동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,청담동
0,강남구,대치동
0,강남구,대치동
0,강남구,개포동
0,강남구,일원동
0,강남구,일원동
0,강남구,일원동
0,강남구,수서동
0,강남구,수서동
0,강남구,일원동
0,강남구,수서동
0,강남구,수서동
0,강남구,개포동
0,강남구,대치동
0,강남구,개포동
0,강남구,개포동
0,강남구,청담동
0,강남구,수서동
0,강남구,세곡동
0,강남구,논현동
0,강남구,도곡동
0,강남구,삼성동
0,강남구,일원동
0,강남구,대치동
0,강남구,대치동
0,강남구,자곡동
0,강남구,일원동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,일원동
0,강남구,일원동
0,강남구,일원동
0,강남구,일원동
0,강남구,일원동
0,강남구,일원동
0,강남구,일원동
0,강남구,개포동
0,강남구,일원동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,역삼동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,강남구,삼성동
0,성북구,하월곡동
0,성북구,하월곡동
0,강북구,미아동
0,성북구,길음동
0,성북구,동선동1가
0,성북구,정릉동
0,성북구,종암동
30,성북구,정릉동
0,성북구,장위동
50,서대문구,북가좌동
0,서대문구,연희동
0,서대문구,북아현동
0,서대문구,북가좌동
0,서대문구,홍은동
0,서대문구,홍은동
0,서대문구,북가좌동
0,서대문구,남가좌동
0,서대문구,대현동
0,서대문구,대신동
0,서대문구,연희동
0,서대문구,홍제동
0,서대문구,남가좌동
0,서대문구,남가좌동
0,서대문구,충정로3가
0,서대문구,창천동
0,서대문구,북아현동
0,서대문구,북아현동
0,서대문구,미근동
0,서대문구,홍제동
0,서대문구,홍제동
0,서대문구,홍은동
0,서대문구,연희동
0,서대문구,홍은동
0,서대문구,홍은동
0,마포구,상암동
0,서대문구,북가좌동
0,서대문구,남가좌동
0,서대문구,남가좌동
0,서대문구,창천동
0,서대문구,창천동
0,서대문구,창천동
0,서대문구,창천동
0,서대문구,창천동
0,서대문구,창천동
0,서대문구,창천동
0,서대문구,창천동
0,서대문구,연희동
0,서대문구,홍제동
0,서대문구,홍은동
0,서대문구,북가좌동
0,서대문구,북가좌동
0,서대문구,홍제동
0,서대문구,홍제동
0,서대문구,충정로3가
0,서대문구,연희동
0,서대문구,홍제동
0,서대문구,홍제동
0,서대문구,홍제동
0,서대문구,북가좌동
0,서대문구,충정로2가
0,서대문구,북아현동
0,서대문구,연희동
0,서대문구,홍제동
0,서대문구,홍은동
0,강남구,율현동
0,강남구,율현동
0,강남구,율현동
0,강남구,율현동
0,강남구,율현동
0,강남구,율현동
0,강남구,자곡동
0,강남구,세곡동
0,강남구,세곡동
0,강남구,자곡동
0,강남구,자곡동
0,강남구,자곡동
0,강남구,자곡동
0,강남구,세곡동
0,강남구,세곡동
0,강남구,수서동
0,강남구,수서동
0,강남구,수서동
0,강남구,수서동
0,강남구,수서동
0,강남구,역삼동
0,강남구,신사동
0,강남구,신사동
0,강남구,신사동
0,강남구,신사동
0,강남구,신사동
0,강남구,신사동
0,강남구,신사동
0,강남구,신사동
0,서대문구,충정로3가
0,서대문구,북아현동
0,서대문구,북아현동
0,서대문구,충정로3가
0,서대문구,창천동
0,서대문구,홍은동
0,서대문구,홍은동
0,서대문구,남가좌동
0,서대문구,남가좌동
0,서대문구,남가좌동
0,서대문구,북가좌동
0,서대문구,남가좌동
0,서대문구,연희동
0,서대문구,창천동
0,서대문구,냉천동
0,서대문구,홍제동
0,서대문구,미근동
0,서대문구,창천동
0,서대문구,창천동
0,서대문구,창천동
0,서대문구,대현동
0,서대문구,남가좌동
0,서대문구,남가좌동
0,서대문구,홍제동
0,서대문구,대현동
0,서대문구,대현동
0,서대문구,대현동
0,서대문구,창천동
0,서대문구,창천동
0,서대문구,천연동
0,서대문구,충정로2가
0,서대문구,북아현동
0,서대문구,창천동
0,서대문구,연희동
0,서대문구,남가좌동
0,서대문구,연희동
0,서대문구,북가좌동
0,서대문구,남가좌동
0,서대문구,홍제동
0,서대문구,남가좌동
0,서대문구,북가좌동
0,서대문구,북가좌동
0,서대문구,홍은동
0,서대문구,홍은동
0,서대문구,홍제동
0,서대문구,홍은동
0,서대문구,홍은동
0,서대문구,홍제동
0,마포구,상암동
0,마포구,중동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,마포구,중동
0,마포구,성산동
0,마포구,중동
0,마포구,상암동
0,마포구,상암동
0,마포구,상암동
0,마포구,상암동
0,마포구,상암동
0,강남구,역삼동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,대치동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,마포구,연남동
0,마포구,성산동
0,마포구,성산동
0,마포구,성산동
0,마포구,성산동
0,마포구,성산동
0,마포구,성산동
0,마포구,성산동
0,마포구,성산동
0,마포구,성산동
0,강남구,압구정동
0,마포구,망원동
0,마포구,망원동
0,마포구,연남동
0,마포구,연남동
0,마포구,연남동
0,마포구,연남동
0,마포구,연남동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,도곡동
0,강남구,개포동
0,강남구,개포동
0,관악구,신림동
0,관악구,신림동
0,관악구,신림동
0,관악구,봉천동
0,관악구,신림동
0,관악구,봉천동
0,관악구,봉천동
0,관악구,봉천동
0,관악구,남현동
0,관악구,신림동
0,관악구,신림동
0,관악구,봉천동
0,관악구,신림동
0,관악구,신림동
0,관악구,봉천동
0,관악구,신림동
0,관악구,신림동
0,관악구,봉천동
0,관악구,봉천동
0,관악구,신림동
0,관악구,봉천동
0,관악구,신림동
0,관악구,신림동
0,관악구,신림동
0,관악구,신림동
0,관악구,신림동
0,관악구,신림동
0,관악구,신림동
0,관악구,신림동
0,관악구,봉천동
0,관악구,신림동
0,관악구,신림동
0,관악구,신림동
0,관악구,신림동
0,관악구,봉천동
0,관악구,봉천동
0,관악구,신림동
0,관악구,신림동
0,관악구,신림동
0,관악구,신림동
0,관악구,봉천동
0,관악구,봉천동
0,관악구,신림동
0,관악구,신림동
0,관악구,봉천동
0,관악구,봉천동
0,관악구,신림동
0,관악구,봉천동
0,관악구,신림동
0,관악구,봉천동
0,관악구,봉천동
0,관악구,신림동
0,마포구,망원동
0,성북구,길음동
0,성북구,동선동1가
